"","date","city","house","agri","industry","Total"
"284",2017-01-01,"嘉義縣",63177774.0513937,16096614.7674216,68511336.5130662,191854764.808362
"285",2017-01-01,"彰化縣",157387517.285204,31274221.0204082,439950104.204592,781855525.510204
"286",2017-01-01,"澎湖縣",12764444.4823529,377394.162091503,3323503.42745098,30435013.0718954
"287",2017-02-01,"台中市",391072012.749077,10928160.0369004,1126381066.66052,1951457149.44649
"288",2017-02-01,"台北市",351629653.101843,1205931.93404462,30349287.0067895,1004943278.37051
"289",2017-02-01,"台東縣",30000931.0451509,2151461.19048891,9396041.92759818,66403123.163238
"290",2017-02-01,"台南市",259096361.975589,25947240.8945074,1379340284.07323,1880234847.42807
"291",2017-02-01,"宜蘭縣",64049361.625115,4352642.03955842,114736580.214811,234013012.879485
"292",2017-02-01,"花蓮縣",49071180.7988381,2168987.83587509,74491718.2352941,173519026.870007
"293",2017-02-01,"金門縣",7788359.4233959,229960.715408119,1640029.90833697,17826412.047141
"294",2017-02-01,"南投縣",70003148.5824653,8377701.34505208,83189104.5842014,209967452.256944
"295",2017-02-01,"屏東縣",105872597.161525,58492619.8453299,79698980.6602399,318413826.0497
"296",2017-02-01,"苗栗縣",62168794.1694915,1651827.86440678,386477664.881356,500553898.305085
